time_stamp,pos_x,pos_y,pos_z,temp,label
2021-10-26 15:16:57,-0.632182,3.17049,8.84097,13.2,Sternal lying
2021-10-26 15:44:42,-4.58811,-1.04406,8.888860000000001,13.2,Sternal lying
2021-10-26 13:06:08,-8.007639999999999,2.04022,6.072780000000001,12.1,Grazing
2021-10-26 15:38:28,-2.83524,-0.0,9.22411,13.2,Sternal lying
2021-10-26 16:06:09,-2.47126,1.7816,8.84097,11.4,Sternal lying
2021-10-26 15:18:30,0.881223,2.318,8.98465,13.2,Sternal lying
2021-10-26 13:57:33,-3.0747,3.17049,8.30457,12.1,Stand up
2021-10-26 14:45:49,-0.699231,3.04597,9.05169,12.6,Stand up
2021-10-26 14:31:29,1.36015,3.04597,8.888860000000001,12.6,Stand up
2021-10-26 17:00:44,-4.82757,3.2854300000000003,7.758589999999999,9.6,Walking
2021-10-26 16:12:35,-0.957851,1.90612,9.33905,11.4,Sternal lying
2021-10-26 15:42:11,-0.622603,1.88697,9.5402,13.2,Sternal lying
2021-10-26 14:32:17,3.26627,2.92145,8.15131,12.6,Stand up
2021-10-26 16:28:18,1.10153,2.00191,9.43483,11.4,Sternal lying
2021-10-26 14:19:44,0.459769,3.73562,8.67813,12.6,Sternal lying
2021-10-26 15:08:25,-0.038314,3.08428,9.25284,13.2,Stand up
2021-10-26 14:25:16,-0.105364,4.0612900000000005,8.63982,12.6,Stand up
2021-10-26 14:08:49,0.948273,3.60152,8.62066,12.6,Sternal lying
2021-10-26 14:42:24,-0.0574711,3.51531,8.5153,12.6,Walking
2021-10-26 16:50:04,-6.12067,3.73562,8.92717,11.4,Walking
2021-10-26 15:02:58,-0.19157,2.82566,8.764339999999999,13.2,Stand up
2021-10-26 13:06:35,-2.44252,4.75094,9.19537,12.1,Grazing
2021-10-26 14:48:40,-0.603446,3.12259,8.7356,12.6,Stand up
2021-10-26 14:59:57,-0.105364,2.40421,9.29116,12.6,Stand up
2021-10-26 13:12:23,-6.61875,2.29884,3.64941,12.1,Grazing
2021-10-26 16:55:24,2.56704,1.45593,5.8045800000000005,11.4,Walking
2021-10-26 16:37:19,-0.8908020000000001,2.69156,9.10917,11.4,Stand up
2021-10-26 16:16:01,1.22605,2.0785400000000003,9.1379,11.4,Sternal lying
2021-10-26 13:08:40,-6.800739999999999,2.29884,3.51531,12.1,Grazing
2021-10-26 14:31:23,1.2164700000000002,3.24712,8.66855,12.6,Stand up
2021-10-26 16:00:49,-3.08428,2.15516,8.63982,11.4,Sternal lying
2021-10-26 14:41:43,-0.795017,2.37547,9.20495,12.6,Stand up
2021-10-26 14:48:01,-1.5900299999999998,3.0651200000000003,8.611080000000001,12.6,Stand up
2021-10-26 16:04:10,-1.20689,2.55746,8.77392,11.4,Sternal lying
2021-10-26 13:20:43,-7.1647300000000005,4.68389,4.75094,12.1,Grazing
2021-10-26 16:49:52,1.24521,1.33141,5.795,11.4,Walking
2021-10-26 15:52:29,-2.59578,2.8065,8.48656,13.2,Sternal lying
2021-10-26 14:03:59,-3.18007,1.54214,8.7356,12.6,Sternal lying
2021-10-26 13:20:05,-6.65707,3.477,4.95209,12.1,Grazing
2021-10-26 15:01:45,-0.632182,2.79693,9.35821,13.2,Stand up
2021-10-26 15:58:23,-4.511480000000001,3.2088,7.81607,13.2,Sternal lying
2021-10-26 16:55:05,0.814174,1.72413,8.22794,11.4,Walking
2021-10-26 16:38:53,-1.10153,3.15133,9.08043,11.4,Stand up
2021-10-26 14:18:37,1.4272,3.66857,8.7835,12.6,Sternal lying
2021-10-26 15:06:21,0.0287355,3.15133,9.36779,13.2,Stand up
2021-10-26 14:05:39,-4.18581,1.41762,8.189630000000001,12.6,Sternal lying
2021-10-26 13:24:59,-7.720280000000001,0.19157,1.71455,12.1,Grazing
